artist,earliest_eurovision_year,earliest_eurovision_rank,wikipedia_slug,wikipedia_url,scraped_at,born,origin,genres,occupation,years_active,labels
Måns Zelmerlöw,2015,1,Måns_Zelmerlöw,https://en.wikipedia.org/wiki/Måns_Zelmerlöw,2026-05-20T09:29:24,"Måns Petter Albert Sahlén Zelmerlöw ( 1986-06-13 ) 13 June 1986 (age 39) Lund , Sweden",,Pop,Singer songwriter television presenter model actor,2005–present,Warner Music Sweden
Polina Gagarina,2015,2,Polina_Gagarina,https://en.wikipedia.org/wiki/Polina_Gagarina,2026-05-20T09:29:26,"Polina Sergeyevna Gagarina ( 1987-03-27 ) 27 March 1987 (age 39) Moscow , Russian SFSR, Soviet Union",,pop,singer songwriter actress,2003–present,
Il Volo,2015,3,Il_Volo,https://en.wikipedia.org/wiki/Il_Volo,2026-05-20T09:29:27,,Italy,Operatic pop classical crossover,,2010–present,Geffen Universal / Interscope Sony Music Latin
Loïc Nottet,2015,4,Loïc_Nottet,https://en.wikipedia.org/wiki/Loïc_Nottet,2026-05-20T09:29:29,"Loïc Jean-Pierre Nottet ( 1996-04-10 ) 10 April 1996 (age 30) Charleroi , Wallonia , Belgium",,Electropop synthpop [ 1 ] [ 2 ],Singer songwriter dancer,2014–present,Sony
Aminata Savadogo,2015,5,Aminata_Savadogo,https://en.wikipedia.org/wiki/Aminata_Savadogo,2026-05-20T09:29:31,"Aminata Savadogo ( 1993-01-09 ) 9 January 1993 (age 33) Riga , Latvia",,Pop electronic R&B soul funk,Singer songwriter record producer model,2008–present,
Guy Sebastian,2015,6,Guy_Sebastian,https://en.wikipedia.org/wiki/Guy_Sebastian,2026-05-20T09:29:32,"Guy Theodore Sebastian ( 1981-10-26 ) 26 October 1981 (age 44) Klang , Selangor , Malaysia","Adelaide , South Australia",Pop R&B,Singer songwriter record producer,,Sony The Cherry Party [ 1 ] RAL RCA [ 2 ]
Elina Born and Stig Rästa,2015,7,Elina_Born,https://en.wikipedia.org/wiki/Elina_Born,2026-05-20T09:29:33,"( 1994-06-29 ) 29 June 1994 (age 31) Lehtse , Estonia",,Pop,Singer,2012–present,
Bojana Stamenov,2015,9,Bojana_Stamenov,https://en.wikipedia.org/wiki/Bojana_Stamenov,2026-05-20T09:29:35,"( 1986-06-24 ) 24 June 1986 (age 39) Belgrade , SR Serbia , SFR Yugoslavia",,"Soul , jazz , R&B , funk , electropop",Singer,2009-present,
Nadav Guedj,2015,10,Nadav_Guedj,https://en.wikipedia.org/wiki/Nadav_Guedj,2026-05-20T09:29:37,"( 1998-11-02 ) November 2, 1998 (age 27) Paris , France","Netanya , Israel","Pop , R&B , funk , dance",Singer actor,2015-present,
Jamala,2016,1,Jamala,https://en.wikipedia.org/wiki/Jamala,2026-05-20T09:29:39,"Susana Alimivna Jamaladinova ( Susana Alim qızı Camaladinova ) ( 1983-08-27 ) 27 August 1983 (age 42) Osh , Kirghiz SSR , Soviet Union (present day Kyrgyzstan )",Crimea,Electro minimal ethnic fusion soul hip hop pop,Singer,2001–present,Moon Enjoy! Universal
Dami Im,2016,2,Dami_Im,https://en.wikipedia.org/wiki/Dami_Im,2026-05-20T09:29:40,"Im Da-mi ( 1988-10-17 ) 17 October 1988 (age 37) Seoul , South Korea [ 1 ] [ 2 ]","Brisbane , Queensland , Australia",Pop R&B soul gospel [ 3 ],"Singer, songwriter",2005–present,Sony (2013–2019) ABC Music (2020–present)
Sergey Lazarev,2019,3,Sergey_Lazarev,https://en.wikipedia.org/wiki/Sergey_Lazarev,2026-05-20T09:29:42,"Sergey Vyacheslavovich Lazarev ( 1983-04-01 ) 1 April 1983 (age 43) Moscow , Soviet Union",,Pop,Singer dancer,,Style Sony Music Russia Koala Music
Poli Genova,2016,4,Poli_Genova,https://en.wikipedia.org/wiki/Poli_Genova,2026-05-20T09:29:43,"Poli Plamenova Genova ( 1987-02-10 ) 10 February 1987 (age 39) Sofia , Bulgaria",,Pop,Singer songwriter actress television presenter,1991–present,Virgin Records Cat Music Universal Ultra Sony
Frans,2016,5,Frans_(singer),https://en.wikipedia.org/wiki/Frans_(singer),2026-05-20T09:29:45,"( 1998-12-19 ) 19 December 1998 (age 27) Ystad , Scania , Sweden",,,singer songwriter,2006–present,
Iveta Mukuchyan,2016,7,Iveta_Mukuchyan,https://en.wikipedia.org/wiki/Iveta_Mukuchyan,2026-05-20T09:29:47,"( 1986-10-14 ) 14 October 1986 (age 39) Yerevan , Armenian SSR , USSR",,Pop R&B Folk,Singer,,Sister Jack Mukuchyan
Michał Szpak,2016,8,Michał_Szpak,https://en.wikipedia.org/wiki/Michał_Szpak,2026-05-20T09:29:48,"( 1990-11-26 ) 26 November 1990 (age 35) Jasło , Poland",,"Rock , pop , operatic pop , soul , jazz , electronic","Singer , songwriter",2009–present,"Universal Music Polska , Sony Music Entertainment Poland , Warner Music Poland"
Donny Montell,2016,9,Donny_Montell,https://en.wikipedia.org/wiki/Donny_Montell,2026-05-20T09:29:49,"Donatas Montvydas ( 1987-10-22 ) 22 October 1987 (age 38) Vilnius , Lithuania",Lithuania,"Pop, soul , R'n'B",Singer-songwriter,2008–present,
Laura Tesoro,2016,10,Laura_Tesoro,https://en.wikipedia.org/wiki/Laura_Tesoro,2026-05-20T09:29:50,"( 1996-08-19 ) 19 August 1996 (age 29) Antwerp , Belgium",,Pop R&B funk dance,Singer actress,2008–present,
Salvador Sobral,2017,1,Salvador_Sobral,https://en.wikipedia.org/wiki/Salvador_Sobral,2026-05-20T09:29:52,"Salvador Vilar Braamcamp Sobral ( 1989-12-28 ) 28 December 1989 (age 36) Lisbon , Portugal",,Alternative soul jazz,Singer,2009–present,Valentim de Carvalho
Kristian Kostov,2017,2,Kristian_Kostov,https://en.wikipedia.org/wiki/Kristian_Kostov,2026-05-20T09:29:53,"Kristian Konstantinov Kostov ( 2000-03-15 ) 15 March 2000 (age 26) Moscow , Russia",Bulgaria ; Kazakhstan,Pop acoustic soul,Singer songwriter musician actor model,2014–present,Holistic Monkeys Xuman Symphonix Universal Virginia
SunStroke Project,2017,3,SunStroke_Project,https://en.wikipedia.org/wiki/SunStroke_Project,2026-05-20T09:29:55,,"Chișinău , Moldova",Electro house dance pop,,2007–present,Sens Warner Bis
Blanche,2017,4,Blanche_(singer),https://en.wikipedia.org/wiki/Blanche_(singer),2026-05-20T09:29:56,"Ellie Noa Blanche Delvaux ( 1999-06-10 ) 10 June 1999 (age 26) Uccle , Brussels , Belgium [ 1 ]",,Indie pop,Singer songwriter,2016–present,PIAS Belgium
Robin Bengtsson,2017,5,Robin_Bengtsson,https://en.wikipedia.org/wiki/Robin_Bengtsson,2026-05-20T09:29:57,"Hans Robin Gustav Bengtsson ( 1990-04-27 ) 27 April 1990 (age 36) Svenljunga , Sweden",,Pop,Singer,2008–present,Reeflake Records
Francesco Gabbani,2017,6,Francesco_Gabbani,https://en.wikipedia.org/wiki/Francesco_Gabbani,2026-05-20T09:29:59,"( 1982-09-09 ) 9 September 1982 (age 43) Carrara , Italy",,Electropop indie pop,Singer songwriter multi-instrumentalist,2000–present,BMG
Ilinca and Alex Florea,2017,7,Ilinca_Băcilă,https://en.wikipedia.org/wiki/Ilinca_Băcilă,2026-05-20T09:30:00,"( 1998-08-17 ) 17 August 1998 (age 27) Târgu Mureș , Romania","Cluj Napoca , Romania",Pop,Singer yodeler,2012–present,
Joci Pápai,2017,8,Joci_Pápai,https://en.wikipedia.org/wiki/Joci_Pápai,2026-05-20T09:30:02,"József Pápai ( 1981-09-22 ) 22 September 1981 (age 44) Tata , Hungary",,Romani music traditional folk hip hop pop rock soul R&B,Singer actor rapper guitarist,2005–present,
Jacques Houdek,2017,9,Jacques_Houdek,https://en.wikipedia.org/wiki/Jacques_Houdek,2026-05-20T09:30:03,"Željko Houdek ( 1981-04-15 ) 15 April 1981 (age 45) Velika Gorica , SR Croatia , Yugoslavia",,Pop soul R'n'B gospel swing jazz blues,,2000–present,
JOWST,2017,10,JOWST,https://en.wikipedia.org/wiki/JOWST,2026-05-20T09:30:04,"Joakim With Steen ( 1989-06-26 ) 26 June 1989 (age 36) Trondheim , Norway","Kolbotn , Norway",EDM punk rock,Music producer songwriter sound engineer audio mixer teacher,2011–present,Three15 Records Red Line Records
Netta,2018,1,Netta_Barzilai,https://en.wikipedia.org/wiki/Netta_Barzilai,2026-05-20T09:30:05,"( 1993-01-22 ) 22 January 1993 (age 33) Hod HaSharon , Israel",,Pop electropop experimental pop folk pop,Singer,2012–present,S-Curve Tedy Productions BMG
Eleni Foureira,2018,2,Eleni_Foureira,https://en.wikipedia.org/wiki/Eleni_Foureira,2026-05-20T09:30:07,"Entela Fureraj ( 1987-03-07 ) 7 March 1987 (age 39) Fier , Albania","Athens , Greece",Pop,Singer,2007–present,Universal Music Greece Minos EMI Panik Records Sony Music
Cesár Sampson,2018,3,Cesár_Sampson,https://en.wikipedia.org/wiki/Cesár_Sampson,2026-05-20T09:30:08,"( 1983-08-18 ) 18 August 1983 (age 42) Linz , Austria",,Pop R&B blues country electronic,Singer songwriter model,2000–present,Symphonix Music
Michael Schulte,2018,4,Michael_Schulte_(singer),https://en.wikipedia.org/wiki/Michael_Schulte_(singer),2026-05-20T09:30:10,"( 1990-04-30 ) 30 April 1990 (age 36) Eckernförde , Schleswig-Holstein , West Germany",,Pop,Singer songwriter,2008–present,Polydor
Ermal Meta and Fabrizio Moro,2018,5,Ermal_Meta,https://en.wikipedia.org/wiki/Ermal_Meta,2026-05-20T09:30:11,"( 1981-04-20 ) 20 April 1981 (age 45) Fier , Albania","Bari , Italy",Pop rock alternative,Singer songwriter composer,2006–present,Mescal [ 1 ]
Mikolas Josef,2018,6,Mikolas_Josef,https://en.wikipedia.org/wiki/Mikolas_Josef,2026-05-20T09:30:13,"Mikoláš Josef ( 1995-10-04 ) 4 October 1995 (age 30) Prague , Czech Republic",,Pop house folk hip hop R&B pop rock,Singer songwriter,,
Benjamin Ingrosso,2018,7,Benjamin_Ingrosso,https://en.wikipedia.org/wiki/Benjamin_Ingrosso,2026-05-20T09:30:14,"Benjamin Daniele Wahlgren Ingrosso ( 1997-09-14 ) 14 September 1997 (age 28) Danderyd , Sweden",,Pop electropop,"Singer, songwriter, record producer, actor",2005–present,TEN Hitco 6&7 Universal Music Group
