artist,total_releases,releases_before,releases_after,first_release_year,event_year,event_rank,event_country,career_start_year,birth_year,primary_genre,genre_count,origin,years_before,years_after,releases_per_year_before,releases_per_year_after,bump_ratio,rank_group,enough_after_data
Alessandra,58,44,14,2009,2023,5,Norway,2022.0,2002.0,edm pop,1.0,"Lillehammer , Norway",1.0,3,44.0,4.666666666666667,0.10606060606060606,Top-10,True
Alika,29,29,0,2000,2023,8,Estonia,2021.0,2002.0,unknown,0.0,,2.0,3,14.5,0.0,0.0,Top-10,True
Amanda Tenfjord,25,17,0,2014,2022,8,Greece,2014.0,1997.0,synth-pop [ 2 ] indie pop [ 3 ] nordic pop [ 3 ],1.0,"Tennfjord , Norway",8.0,4,2.125,0.0,0.0,Top-10,True
Amir,38,1,31,2013,2016,6,France,2013.0,,Unknown,,,3.0,10,0.3333333333333333,3.1,9.3,Top-10,True
Angelina Mango,49,18,7,2020,2024,7,Italy,2020.0,2001.0,pop,1.0,,4.0,2,4.5,3.5,0.7777777777777778,Top-10,True
Baby Lasagna,11,2,5,2023,2024,2,Croatia,2011.0,1995.0,pop punk techno heavy metal house [ 1 ],1.0,,13.0,2,0.15384615384615385,2.5,16.25,Runner-up,True
Bambie Thug,42,37,1,2013,2024,6,Ireland,2020.0,1993.0,unknown,0.0,,4.0,2,9.25,0.5,0.05405405405405406,Top-10,True
Barbara Pravi,25,8,12,2016,2021,2,France,2014.0,1993.0,chanson french pop,1.0,"Montmartre , France",7.0,5,1.1428571428571428,2.4,2.1,Runner-up,True
Benjamin Ingrosso,77,11,54,2006,2018,7,Sweden,2005.0,1997.0,pop electropop,1.0,,13.0,8,0.8461538461538461,6.75,7.9772727272727275,Top-10,True
Blanche,32,27,3,2011,2017,4,Belgium,2016.0,1999.0,indie pop,1.0,,1.0,9,27.0,0.3333333333333333,0.012345679012345678,Top-10,True
Blind Channel,49,31,14,2014,2021,6,Finland,2013.0,,nu metal alternative rock post-hardcore alternative metal electronicore,1.0,"Oulu , Finland",8.0,5,3.875,2.8,0.7225806451612903,Top-10,True
Bojana Stamenov,1,0,0,2015,2015,9,Serbia,2009.0,1986.0,soul,5.0,,6.0,11,0.0,0.0,,Top-10,True
Cesár Sampson,1,0,0,2018,2018,3,Austria,2000.0,1983.0,pop r&b blues country electronic,1.0,,18.0,8,0.0,0.0,,Runner-up,True
Chanel,6,6,0,2006,2022,3,Spain,2006.0,,Unknown,,,16.0,4,0.375,0.0,0.0,Runner-up,True
