artist,event_year,release_year,release_title,release_country
Måns Zelmerlöw,2015,2009,Hope & Glory,SE
Måns Zelmerlöw,2015,2014,Barcelona Sessions,SE
Måns Zelmerlöw,2015,2016,Love Love Peace Peace,XW
Måns Zelmerlöw,2015,2021,Circles and Squares,XW
Måns Zelmerlöw,2015,2013,Beautiful Life,
Måns Zelmerlöw,2015,2014,Barcelona Sessions,AL
Måns Zelmerlöw,2015,2010,Christmas With Friends,SE
Måns Zelmerlöw,2015,2025,Revolution,XW
Måns Zelmerlöw,2015,2007,Cara Mia,SE
Måns Zelmerlöw,2015,2009,MZW,XW
Måns Zelmerlöw,2015,2015,Heroes (Remixes),XW
Måns Zelmerlöw,2015,2015,Kära Vinter,SE
Måns Zelmerlöw,2015,2016,Fire In The Rain,SE
Måns Zelmerlöw,2015,2007,Stand by for…,XW
Måns Zelmerlöw,2015,2009,MZW,PL
Måns Zelmerlöw,2015,2015,Heroes (Remixes),
Måns Zelmerlöw,2015,2019,Walk With Me,XW
Måns Zelmerlöw,2015,2007,All I Want For Christmas Is You,SE
Måns Zelmerlöw,2015,2011,Kära Vinter,AL
Måns Zelmerlöw,2015,2015,Heroes (Alex Moreno remix),XW
Måns Zelmerlöw,2015,2015,Heroes,SE
Måns Zelmerlöw,2015,2019,Fuego,XE
Måns Zelmerlöw,2015,2009,MZW,MX
Måns Zelmerlöw,2015,2009,MZW,SE
Måns Zelmerlöw,2015,2007,Stand by for...,SE
Måns Zelmerlöw,2015,2022,Let´s Sing (It´s Christmas Time),XW
Måns Zelmerlöw,2015,2019,TIME,XW
Måns Zelmerlöw,2015,2015,Perfectly Damaged,XW
Måns Zelmerlöw,2015,2015,Heroes,
Måns Zelmerlöw,2015,2015,Perfectly Damaged,SE
Måns Zelmerlöw,2015,2015,Heroes,DK
Måns Zelmerlöw,2015,2016,Chameleon,XW
Måns Zelmerlöw,2015,2007,Work of Art (Da Vinci),SE
Måns Zelmerlöw,2015,2019,Walk With Me (live),XW
Måns Zelmerlöw,2015,2016,Stayin' Alive,
Måns Zelmerlöw,2015,2016,Perfectly Re:Damaged,AT
Måns Zelmerlöw,2015,2016,Rien Que Nous Deux (Hanging On To Nothing),XW
Måns Zelmerlöw,2015,2007,Brother Oh Brother,
Måns Zelmerlöw,2015,2013,Broken Parts,
Måns Zelmerlöw,2015,2016,Perfectly Re:Damaged,BE
Måns Zelmerlöw,2015,2016,Chameleon,SE
Måns Zelmerlöw,2015,2016,Perfectly Re:Damaged,US
Il Volo,2015,2013,Buon Natale: The Christmas Album,US
Il Volo,2015,2013,Constantemente mía,US
Il Volo,2015,2019,Musica,
Il Volo,2015,2011,Il volo,US
Il Volo,2015,2011,Il volo (Special Christmas Edition),
Il Volo,2015,2017,Notte Magica - A Tribute to the Three Tenors,XW
Il Volo,2015,2019,Musica,IT
Il Volo,2015,2015,Grande amore,AU
Il Volo,2015,2024,Capolavoro (English version),XW
Il Volo,2015,2011,Il volo,
Il Volo,2015,2025,Live at the Valley of the Temples,
Il Volo,2015,2024,Ad astra,XE
Il Volo,2015,2015,Grande amore,
Il Volo,2015,2021,Tribute To Ennio Morricone - Live At Arena Di Verona,
Il Volo,2015,2013,Más que amor,US
Il Volo,2015,2015,L'amore si muove,
Il Volo,2015,2015,The Platinum Collection,IT
Il Volo,2015,2018,Ámame,
Il Volo,2015,2016,Notte Magica - A Tribute to the Three Tenors,MX
Il Volo,2015,2011,Il volo,US
Il Volo,2015,2013,We Are Love (Live From The Fillmore Miami Beach At Jackie Gleason Theater),XW
Il Volo,2015,2011,Il volo,IT
Il Volo,2015,2015,L'amore si muove,IT
Il Volo,2015,2024,Ad astra (international edition),IT
Il Volo,2015,2016,Grande Amore (UK deluxe edition),GB
Il Volo,2015,2012,Il Volo…Takes Flight: Live from the Detroit Opera House,XE
Il Volo,2015,2019,The Best Of 10 Years,IT
Il Volo,2015,2012,Il Volo…Takes Flight: Live from the Detroit Opera House,AR
Il Volo,2015,2015,Sanremo grande amore,
Il Volo,2015,2021,Il Volo Sings Morricone,DE
Il Volo,2015,2011,'O sole mio,
Il Volo,2015,2019,Musica che resta,XW
Il Volo,2015,2024,Ad astra (international edition),IT
Il Volo,2015,2001,Buon Natale: The Christmas Album,US
Il Volo,2015,2015,Sanremo grande amore,
Il Volo,2015,2015,Grande amore,
Il Volo,2015,2012,Il Volo...Takes Flight,US
Il Volo,2015,2024,Capolavoro,XW
Il Volo,2015,2010,Il Volo,
Il Volo,2015,2015,Grande amor,XE
Il Volo,2015,2012,We Are Love,
Il Volo,2015,2016,Notte Magica - A Tribute To The Three Tenors,XE
Il Volo,2015,2011,Christmas Favorites,
Il Volo,2015,2011,Il volo,IT
Il Volo,2015,2011,Il volo (edición en español),US
Il Volo,2015,2018,Noche sin día,US
Il Volo,2015,2015,Grande amore (international version),
Il Volo,2015,2019,Musica,JP
Il Volo,2015,2019,10 Years - The Best Of,XW
Il Volo,2015,2024,Ad astra,IT
Il Volo,2015,2012,We Are Love,XE
Il Volo,2015,2011,Il volo,
Il Volo,2015,2015,Grande amore (Eurovision version),
Il Volo,2015,2024,Capolavoro,XW
Il Volo,2015,2019,Musica,
Loïc Nottet,2015,2020,Heartbreaker,XW
Loïc Nottet,2015,2024,Addictocrate*,XW
Loïc Nottet,2015,2019,Candy,XW
Loïc Nottet,2015,2023,Addictocrate,XE
Loïc Nottet,2015,2023,Addictocrate,
Loïc Nottet,2015,2015,Rhythm Inside,BE
Loïc Nottet,2015,2016,Million Eyes,XW
Loïc Nottet,2015,2017,Selfocracy,FR
Loïc Nottet,2015,2017,Doctor,XW
Loïc Nottet,2015,2020,Sillygomania,XW
Guy Sebastian,2015,2015,Spirit of the Anzacs,GB
Guy Sebastian,2015,2018,Feel Alright (Steerner remix),
Guy Sebastian,2015,2012,Message In A Bottle,XW
Guy Sebastian,2015,2009,Like It Like That,AL
Guy Sebastian,2015,2013,Bed of Clouds,AU
Guy Sebastian,2015,2009,Art of Love,IT
Guy Sebastian,2015,2007,Cover On My Heart,AU
Guy Sebastian,2015,2004,Beautiful Life,AU
Guy Sebastian,2015,2012,Armageddon,AU
Guy Sebastian,2015,2020,Standing With You,AU
Guy Sebastian,2015,2010,Who’s That Girl,AU
Guy Sebastian,2015,2007,The Memphis Album,AF
Guy Sebastian,2015,2015,Tonight Again (short edit),
Guy Sebastian,2015,2025,Get It Done,XW
Guy Sebastian,2015,2012,Gold,XW
Guy Sebastian,2015,2014,Madness,AU
Guy Sebastian,2015,2020,T. R. U. T. H.,
Guy Sebastian,2015,2014,Madness,AF
Guy Sebastian,2015,2023,I Chose Good,
Guy Sebastian,2015,2012,Armageddon,AU
Guy Sebastian,2015,2013,Battle Scars,XW
Guy Sebastian,2015,2015,Black And Blue,XW
Guy Sebastian,2015,2006,Elevator Love,AU
Guy Sebastian,2015,2007,The Memphis Album,AU
Guy Sebastian,2015,2008,The Memphis Album,AI
Guy Sebastian,2015,2024,Antidote,XW
Guy Sebastian,2015,2020,T. R. U. T. H.,AU
Guy Sebastian,2015,2003,Angels Brought Me Here,AU
Guy Sebastian,2015,2019,Choir (remix),US
Guy Sebastian,2015,2009,Art of Love,IT
Guy Sebastian,2015,2008,The Memphis Tour,AU
Guy Sebastian,2015,2012,Battle Scars,US
Guy Sebastian,2015,2024,Antidote (Acoustic),XW
Guy Sebastian,2015,2003,Just as I Am,AU
Guy Sebastian,2015,2016,Part 1 EP,XW
Guy Sebastian,2015,2010,Twenty Ten,AU
Guy Sebastian,2015,2018,Before I Go,AF
Guy Sebastian,2015,2013,Battle Scars (Official Remixes),XW
Guy Sebastian,2015,2009,Like It Like That,AL
Guy Sebastian,2015,2012,Armageddon,AU
Guy Sebastian,2015,2015,Madness,XE
Guy Sebastian,2015,2009,Like It Like That,
Guy Sebastian,2015,2017,Conscious,AU
Guy Sebastian,2015,2025,100 Times Around the Sun,
Guy Sebastian,2015,2009,Like It Like That,AU
Guy Sebastian,2015,2012,Armageddon,AU
Guy Sebastian,2015,2004,Out With My Baby,AU
Guy Sebastian,2015,2006,Closer To The Sun,XW
Guy Sebastian,2015,2011,Don’t Worry Be Happy,
Guy Sebastian,2015,2025,Cupid,XW
Guy Sebastian,2015,2025,100 Times Around the Sun,AU
Guy Sebastian,2015,2003,Just as I Am,ID
Guy Sebastian,2015,2015,Madness,DZ
Guy Sebastian,2015,2006,Closer to the Sun,AU
Guy Sebastian,2015,2017,Conscious,GB
Guy Sebastian,2015,2008,Receive the Power,AU
Guy Sebastian,2015,2014,Madness,AF
Guy Sebastian,2015,2018,Before I Go,AT
Guy Sebastian,2015,2016,Set in Stone,AU
Guy Sebastian,2015,2012,Armageddon,AU
Guy Sebastian,2015,2016,Desert,
Guy Sebastian,2015,2017,High on Me,AU
Guy Sebastian,2015,2008,The Memphis Tour,AI
Guy Sebastian,2015,2019,Choir,XW
Guy Sebastian,2015,2014,Madness,DZ
Guy Sebastian,2015,2014,Like a Drum,DE
Guy Sebastian,2015,2010,Twenty Ten,DZ
Guy Sebastian,2015,2015,Tonight Again,XW
Guy Sebastian,2015,2018,Feel Alright (remixes),
Guy Sebastian,2015,2017,Feel Alright,
Guy Sebastian,2015,2010,All to Myself,
Guy Sebastian,2015,2017,Stay in Bed,XW
Mørland,2015,2015,A Monster Like Me (singback),XW
Mørland,2015,2016,Make a Sail,XW
Bojana Stamenov,2015,2015,Beauty Never Lies,
Nadav Guedj,2015,2015,Nadav Guedj,XW
Nadav Guedj,2015,2018,מה את אומרת,
Nadav Guedj,2015,2018,Ma At Omeret,IL
Nadav Guedj,2015,2017,Ulay Nedaber,XW
Nadav Guedj,2015,2026,בלי יד על הדופק,XW
Nadav Guedj,2015,2018,לרקוד ולזוז,XW
Jamala,2016,2015,Подих,XW
Jamala,2016,2026,Обіймай,XW
Jamala,2016,2021,Вдячна,XW
Jamala,2016,2023,QIRIM,XW
Jamala,2016,2016,1944,XE
Jamala,2016,2026,РУХ МІЙ,XW
Jamala,2016,2023,10,
Jamala,2016,2022,ПОКЛИК,XW
Jamala,2016,2013,All Or Nothing,UA
Jamala,2016,2021,Ми,XW
Jamala,2016,2015,Шлях додому,XW
Jamala,2016,2016,1944,XW
Jamala,2016,2011,For Every Heart,UA
Jamala,2016,2026,РУХ МІЙ,UA
Jamala,2016,2017,I Believe in U,XW
Jamala,2016,2026,Замовкни,XW
Jamala,2016,2018,Крила,XW
Jamala,2016,2023,Spotify Singles,
Jamala,2016,2023,Ми,XW
Jamala,2016,2023,I Believe in U,XW
Jamala,2016,2024,QIRIM,UA
Jamala,2016,2019,10,UA
Jamala,2016,2014,Заплуталась,XW
Jamala,2016,2014,Чому квіти мають очі,XW
Jamala,2016,2025,Ми ховаємся,XW
Jamala,2016,2014,Thank You,UA
Jamala,2016,2015,Подих,XW
Jamala,2016,2022,05:45,XW
Jamala,2016,2018,Крила,XW
Jamala,2016,2016,Подих,UA
Jamala,2016,2021,05:45,XW
Jamala,2016,2019,Крила,UA
Jamala,2016,2014,Thank You,XW
Jamala,2016,2015,Дыхание,XW
Jamala,2016,2023,Крила,XW
Jamala,2016,2019,Забирай,XW
Jamala,2016,2023,Spotify Singles,
Jamala,2016,2015,Подих,UA
Jamala,2016,2016,1944,XW
Jamala,2016,2019,10,XW
Dami Im,2016,2014,Gladiator,AU
Dami Im,2016,2014,Heart Beats,AU
Dami Im,2016,2021,My Reality,XW
Dami Im,2016,2021,We’re All Fruit Salad! (Korean & English Version),
Dami Im,2016,2021,My Reality,AU
Dami Im,2016,2014,I Am Australian,
Dami Im,2016,2014,Heart Beats,AU
Dami Im,2016,2013,Alive,AU
Dami Im,2016,2013,One (X Factor Performance),
Dami Im,2016,2013,Dami Im,AU
Dami Im,2016,2023,Christmas Songbook,AU
Dami Im,2016,2018,I Hear a Song,AU
Dami Im,2016,2019,Live Sessions EP,XW
Dami Im,2016,2019,Crying Underwater,XW
Dami Im,2016,2016,Classic Carpenters,AU
Dami Im,2016,2023,In Between,AU
Dami Im,2016,2016,Classic Carpenters,AU
Dami Im,2016,2016,Sounds of Silence,AU
Dami Im,2016,2014,Gladiator (7th Heaven Remixes),XW
Dami Im,2016,2020,Marching On,XW
Dami Im,2016,2016,Fighting for Love,AF
Dami Im,2016,2018,I Hear a Song,AU
Dami Im,2016,2016,Sound of Silence (Remixes),XW
Dami Im,2016,2020,Kiss You Anyway,XW
Dami Im,2016,2015,Smile,AU
Dami Im,2016,2010,Dream,AU
Dami Im,2016,2014,Super Love (7th Heaven Remix),XW
Dami Im,2016,2014,Jolene (Acoustic),AU
Dami Im,2016,2014,Super Love,AU
Dami Im,2016,2024,A New Era,XW
Dami Im,2016,2015,Smile,XW
Dami Im,2016,2019,Isn’t She Lovely,AU
Dami Im,2016,2016,Sound of Silence,XW
Dami Im,2016,2016,Fighting For Love (7th Heaven Remix),XW
Dami Im,2016,2014,Gladiator,
Frans,2016,1999,Ik pluk 'n ster / Ein Stern am Himmel ist noch frei,NL
Frans,2016,1997,Eens schijnt weer de zon,NL
Frans,2016,2003,Live in Ahoy 2003,NL
Frans,2016,1999,Plezier In Wat We Doen,NZ
Frans,2016,1996,Voor jou,NL
Frans,2016,1998,Wat ik je zeggen wil,NL
Frans,2016,2004,Kerst met Frans Bauer,NL
Frans,2016,1997,Weil ich Dich liebe,DE
Frans,2016,1999,Diep in mijn hart / Santa Lucia,NL
Frans,2016,1995,'n Dag uit duizend dromen,NL
Frans,2016,2003,Jouw hart is als chocolade,NL
Frans,2016,1999,Torero,NL
Frans,2016,1987,Ben je jong / Als we helpen,NL
Frans,2016,1993,Op weg naar het geluk,NL
Frans,2016,2005,10 jaar hits,NL
