artist,eurovision_year,eurovision_song,eurovision_country,eurovision_rank,artist_mbid,release_id,release_title,release_date,release_country,release_status
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,0631a490-ea76-475d-9d4d-8be2e2937526,Hope & Glory,2009-03-04,SE,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,1708903d-70f6-48d8-ae59-2052aaf8d132,Barcelona Sessions,2014-02-05,SE,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,1c04b970-5961-4a42-a234-25ea372515fd,Love Love Peace Peace,2016-05-05,XW,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,1e4f01ae-e213-476b-8f1c-6b5398dabc7a,Circles and Squares,2021-02-19,XW,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,23969704-cf1b-402f-80e8-2f8a63c8229c,Beautiful Life,2013-09-13,,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,3056fd04-61b1-44ed-8f38-a4e81b8d62d1,Barcelona Sessions,2014-01-20,AL,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,350bd177-b401-4ff6-af7a-8565642250a0,Christmas With Friends,2010,SE,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,3874406c-c826-4de0-af30-203d21048267,Revolution,2025-02-21,XW,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,39173ead-70d9-421d-b4e9-a0fa8bd52ffc,Cara Mia,2007-03-05,SE,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,476e047c-b2b0-465c-bb66-10ba1d9b2dbb,MZW,2009-03-23,XW,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,57e995d1-2e33-46d6-9fc1-743267d17e01,Heroes (Remixes),2015-05-22,XW,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,5e06e02e-b60d-4b9a-9e03-6ac56e38eec9,Kära Vinter,2015-09-16,SE,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,5ef01b84-876b-441f-a656-56adce42c052,Fire In The Rain,2016-05-04,SE,
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,60f5900b-6cf5-4bfa-8d19-3e03e196f828,Stand by for…,2007-06-19,XW,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,67e98ea6-af82-3ad1-9cc2-3645d170f411,MZW,2009-04-27,PL,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,6b6e4b4f-c5ed-4a2f-b23a-9be097689ba2,Should've Gone Home,2015,NL,Promotion
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,6c8cceef-76c5-4909-ab33-6212d7a7090d,Heroes (Remixes),2015,,
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,78163ade-11d6-467b-bbac-6e953837ea5d,Walk With Me,2019-03-01,XW,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,78ba2143-1225-4f62-9f14-f85595011965,All I Want For Christmas Is You,2007-12-10,SE,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,7c533ae8-a7fc-49d8-84a4-823b4d78b864,Kära Vinter,2011-12-19,AL,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,8b71ed0e-fa38-4369-8d44-4d244bca46cd,Miss America,,,
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,8c5d7434-ae68-474b-85ef-386867a8a241,Heroes (Alex Moreno remix),2015-03-20,XW,
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,8f1818e6-ba44-414d-b09f-8a72e7f95ef8,Heroes,2015-05-13,SE,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,90ffde51-c8ea-4845-88bb-f8b5b3322238,Fuego,2019-05-18,XE,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,9559eca7-6c1e-420f-b99c-11f411bea041,MZW,2009-03-23,MX,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,9722ea4f-73ae-45b2-83ae-b644418f5d1a,Brother Oh Brother,2007,DK,Promotion
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,9797c9d8-92a2-465e-995b-2873ee74a2f8,MZW,2009-03-25,SE,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,99d4f594-a4b5-4745-ac31-f7b3f0760ac6,Stand by for...,2007-05-23,SE,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,9a22ae3e-ff76-4981-89c0-eba2cb62cdd3,Let´s Sing (It´s Christmas Time),2022-11-11,XW,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,9e82fb55-5eae-47dc-8980-5023a3af2bcb,TIME,2019-10-18,XW,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,a4370e64-b8e5-4cc1-8018-1e6ef0b634ea,Perfectly Damaged,2015-06-03,XW,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,a98e6298-e1f7-420c-ac57-ea6bc6662c75,Heroes,2015-05-22,,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,aa1ea33e-b048-4a53-a8d7-569618072367,Perfectly Damaged,2015-06-05,SE,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,aea7bb37-a047-4ced-8bbe-08e398d90bef,Heroes,2015-03-01,DK,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,b2611a82-0577-4ed0-b319-d1940144dff2,Chameleon,2016-12-02,XW,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,b263bd14-61d0-4613-b6ed-55533c16a801,Work of Art (Da Vinci),2007,SE,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,b3158e06-b166-4761-a9b1-138e0b8ae853,Walk With Me (live),2019-12-20,XW,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,bd9d49e3-8ec8-4eec-9385-229603517d38,Stayin' Alive,2016,,
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,bffe8087-ba26-4450-b7b3-60879a5dbec0,Perfectly Re:Damaged,2016-05-13,AT,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,d4a39615-5fb2-45f5-ad97-0d751386dc64,Rien Que Nous Deux (Hanging On To Nothing),2016-10-28,XW,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,d5d6b25e-aece-427e-bff1-3c6176c6a772,Brother Oh Brother,2007,,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,e81cdfa2-b203-4bae-8f09-cc3c17337578,Broken Parts,2013-02-25,,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,e903dc03-7220-4fce-9d66-95589bf49c63,Perfectly Re:Damaged,2016-07-08,BE,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,ebbc4ad3-366e-449e-9490-7cadaffe9042,Chameleon,2016,SE,Official
Måns Zelmerlöw,2015,Heroes,Sweden,1,9a21832f-5104-42fa-b881-17a1ca66bfdb,faee0bc3-7a22-4c56-9e93-2a6b1c31be0d,Perfectly Re:Damaged,2016-05-13,US,Official
